,,,,,,,
Universal ID,Audio #,Name,Room,# of Occurances,Average Dwell Time,Tags,Comments,Average Position, Floor
86,309,The Goddess Tara,33,0,0,,,,1
87,312,Ritual bronze,33,0,0,,,,1
88,313,Bronze bell,33,0,0,,,,1
89,314,Tang-period tomb group,33,0,0,,,,1
90,315,Chinese cloisonne dragon jar,33,0,0,,,,1
91,316,Disciple of Buddha,33,0,0,,,,1
92,322,Korean sarangbang,67,0,0,,,,1
93,324,Moon jar,67,0,0,,,,1
94,325,Tea Bowl With a Sexagenary Cycle Year,67,0,0,,,,1
95,326,Caladon kundika,67,0,0,,,,1
96,331,The David vases,95,0,0,,,,1
97,332,Ewer and cover,95,0,0,,,,1
98,334,Porcelain moon-shaped flask,95,0,0,,,,1
99,342,Kushite Sphinx,65,0,0,,,,2
100,343,Rock Art and Gongs,65,0,0,,,,2
101,351,Label from King Den's sandals,64,0,0,,,,2
102,352,Predynastic Egyptian burial,64,0,0,,,,2
103,255,Clay figurine of Cattle,62-3,0,0,,,,2
104,361,Mummy of Katebet,62-3,0,0,,,,2
105,362,Ship model,62-3,0,0,,,,2
106,363,Blue faience shabti group,62-3,0,0,,,,2
107,365,Page from Book of the Dead,62-3,0,0,,,,2
108,366,Mummy of Artemidorus,62-3,0,0,,,,2
109,367,Mummy mask of Satdehuty,62-3,0,0,,,,2
110,372,Feast of Nebamun,61,0,0,,,,2
111,373,Hunting in the marshes,61,0,0,,,,2
112,381,Jericho skull,59,0,0,,,,2
113,392,Record of food supplies,56,0,0,,,,2
114,393,Ram in the thicket,56,0,0,,,,2
115,395,Game of Ur,56,0,0,,,,2
116,396,Queen of the Night,56,0,0,,,,2
117,402,Map of the World,55,0,0,,,,2
118,403,Gilgamesh food tablet,55,0,0,,,,2
119,404,Library of Ashurbanipal,55,0,0,,,,2
120,411,Silver bull,54,0,0,,,,2
121,412,Basalt relief of storm god,54,0,0,,,,2
122,423,Oxus treasure,52,0,0,,,,2
123,424,Cyrus cylinder,52,0,0,,,,2
124,431,Ain Sakhri figurine,51,0,0,,,,2
125,434,Axe head,51,0,0,,,,2
126,435,Moid cape,51,0,0,,,,2
127,441,Basse-Yutz flagons,50,0,0,,,,2
128,453,Hinton St Mary mosaic,49,0,0,,,,2
129,454,Mildenhall treasure,49,0,0,,,,2
130,455,Hoxne hoard,41,0,0,,,,2
131,461,Projecta casket,41,0,0,,,,2
132,463,Cuerdale hoard,41,0,0,,,,2
133,465,Sutton Hoo,41,0,0,,,,2
134,466,Franks Casket,41,0,0,,,,2
135,467,The Lothair crystal,41,0,0,,,,2
136,472,Wedgewood tea seat,47,0,0,,,,2
137,501,Hebrew Astrolabe,40,0,0,,,,2
138,502,The Lewis chessmen,40,0,0,,,,2
139,503,Icon of the Triumph of Orthodoxy,40,0,0,,,,2
140,504,Citole,40,0,0,,,,2
141,505,Royal gold cup,40,0,0,,,,2
142,513,Ship clock,38-9,0,0,,,,2
143,522,Gold dinar of Abd al-Malik,68,0,0,,,,2
144,524,The Warren cup,68,0,0,,,,2
145,525,Pieces of eight,68,0,0,,,,2
146,541,The Warren cup,70,0,0,,,,2
147,542,The Portland Vase,70,0,0,,,,2
148,543,Head of Augustus,70,0,0,,,,2
149,592,Jomon pottery,92-4,0,0,,,,2
150,594,Samurai armour,92-4,0,0,,,,2
151,595,Kakiemon Elephants,93,0,0,,,,2
